,Area,Delay,Latch,Runtime
results_nonexact/004_dk15.kiss2.blif,8.0,1.00,8,0
results_nonexact/004_lion.kiss2.blif,1.5,1.00,3,0
results_nonexact/004_mc.kiss2.blif,3.5,1.00,7,0
results_nonexact/004_tav.kiss2.blif,8.0,2.00,7,0
results_nonexact/004_train4.kiss2.blif,1.5,1.00,3,0
results_nonexact/005_s8.kiss2.blif,7.0,2.00,4,1
results_nonexact/006_bbtas.kiss2.blif,5.0,1.00,6,0
results_nonexact/006_s27.kiss2.blif,11.5,2.00,5,0
results_nonexact/007_beecount.kiss2.blif,10.0,2.00,8,0
results_nonexact/007_dk14.kiss2.blif,8.0,1.00,8,0
results_nonexact/007_dk27.kiss2.blif,3.0,1.00,6,0
results_nonexact/008_dk17.kiss2.blif,20.0,3.00,9,0
results_nonexact/008_ex6.kiss2.blif,25.0,3.00,12,0
results_nonexact/008_shiftreg.kiss2.blif,2.0,1.00,4,0
results_nonexact/009_ex5.kiss2.blif,5.0,1.00,6,1
results_nonexact/009_lion9.kiss2.blif,13.5,2.00,6,0
results_nonexact/010_bbara.kiss2.blif,21.5,3.00,7,0
results_nonexact/010_ex3.kiss2.blif,6.0,1.00,6,0
results_nonexact/010_ex7.kiss2.blif,5.0,1.00,6,0
results_nonexact/010_opus.kiss2.blif,24.0,3.00,11,0
results_nonexact/011_train11.kiss2.blif,18.0,3.00,7,0
results_nonexact/012_modulo12.kiss2.blif,2.0,1.00,5,0
results_nonexact/013_s386.kiss2.blif,42.0,3.00,12,0
results_nonexact/014_ex4.kiss2.blif,17.0,2.00,14,1
results_nonexact/015_dk512.kiss2.blif,6.5,1.00,8,0
results_nonexact/015_mark1.kiss2.blif,46.0,4.00,26,0
results_nonexact/016_bbsse.kiss2.blif,32.0,3.00,12,1
results_nonexact/016_cse.kiss2.blif,60.5,4.00,13,0
results_nonexact/016_kirkman.kiss2.blif,43.0,4.00,11,1
results_nonexact/016_sse.kiss2.blif,48.5,4.00,13,0
results_nonexact/018_s208.kiss2.blif,61.0,4.00,8,2
results_nonexact/018_s420.kiss2.blif,44.0,4.00,7,2
results_nonexact/019_ex2.kiss2.blif,19.0,3.00,7,1
results_nonexact/019_keyb.kiss2.blif,65.0,5.00,8,4
results_nonexact/020_ex1.kiss2.blif,77.5,4.00,26,4
results_nonexact/020_s1a.kiss2.blif,109.0,4.00,14,6
results_nonexact/020_s1.kiss2.blif,119.0,5.00,13,11
results_nonexact/020_tma.kiss2.blif,39.5,3.00,11,0
results_nonexact/024_donfile.kiss2.blif,19.5,3.00,6,66
results_nonexact/024_pma.kiss2.blif,88.5,4.00,13,0
results_nonexact/025_s820.kiss2.blif,153.5,6.00,27,393
results_nonexact/025_s832.kiss2.blif,158.0,6.00,28,452
results_nonexact/027_dk16.kiss2.blif,60.0,3.00,10,1243
